Title="Input data for auralization"
Variables="Freq","Level"
##########################################
# retarded time	=      4.6907
# source time	=      0.1000
# speed of sound=    342.2432
# xpos	=  -1484.1000
# ypos	=      0.1000
# alt	=    516.9000
# xobs  =      0.0000
# yobs  =      0.0000
# zobs  =      1.2000
# phix  =     17.0955
# phiy  =      0.0000
# dist  =   1571.1459
# distxy=   1484.1000
# vel   =     74.8000
# n1    =     50.8310
##########################################
ZONE T="time=        4.69 airframe broadband" I=31 F=POINT
   7971.8013      4.0103
  10122.9223      4.0103
  12653.6529      4.0103
  15817.0661      4.0103
  20245.8446      4.0103
  25307.3057      4.0103
ZONE T="time=        5.33  fan harmonics" I=5 F=POINT
   1928.6219    117.1303
   3857.2439    117.9384
   5785.8658    107.3899
   7714.4877    101.3899
   9643.1097     95.3899
##########################################
# retarded time	=      5.4067
# source time	=      1.0000
# speed of sound=    342.2506
# xpos	=  -1418.7000
# ypos	=      0.1000
# alt	=    513.0000
# xobs  =      0.0000
# yobs  =      0.0000
# zobs  =      1.2000
# phix  =     18.0600
# phiy  =      0.0000
# dist  =   1508.1939
# distxy=   1418.7000
# vel   =     74.8000
# n1    =     50.8250
##########################################
ZONE T="time=        5.41 airframe broadband" I=31 F=POINT
     25.2931    115.0135
     31.6163    115.2011
     39.8366    115.4249
     50.5862    115.6913
     63.2327    115.9756
     79.6732    116.3090
    101.1723    116.6984
    126.4654    117.1054
    158.0817    117.4756
    202.3446    117.6073
    252.9308    117.5486
    316.1635    117.2574
    398.3660    116.7486
    505.8615    116.0505
    632.3269    115.3418
    796.7319    114.7317
   1011.7231    114.1493
   1264.6539    113.5219
   1580.8173    112.9664
   2023.4462    112.1099
   2529.3077    111.0699
   3161.6347    110.0366
   3983.6597    108.9727
   5058.6155    107.8787
   6323.2693    106.8614
   7967.3194    105.8120
  10117.2310    104.7310
  12646.5387    103.7244
  15808.1734    102.7204
  20234.4619    101.6125
  25293.0774    100.6133
ZONE T="time=        5.41 engine broadband (no buzzsaw)" I=31 F=POINT
     25.2931     92.8574
     31.6163     92.8574
     39.8366     92.8574
     50.5862     92.8574
     63.2327     92.8574
     79.6732     93.2152
    101.1723     93.4279
    126.4654     93.4271
    158.0817     93.3642
    202.3446     93.2795
    252.9308     93.5012
    316.1635     94.6280
    398.3660     96.9791
    505.8615    100.1319
    632.3269    103.1911
    796.7319    106.1760
   1011.7231    108.9397
   1264.6539    111.1843
   1580.8173    113.0892
   2023.4462    114.7954
   2529.3077    115.9728
   3161.6347    116.8030
   3983.6597    117.2964
   5058.6155    117.4145
   6323.2693    117.1647
   7967.3194    116.5394
  10117.2310    115.5009
  12646.5387    114.1707
  15808.1734    112.4927
  20234.4619    110.2312
  25293.0774    107.8207
ZONE T="time=        5.41 engine buzzsaw noise" I=31 F=POINT
     25.2931      4.0103
     31.6163      4.0103
     39.8366      4.0103
     50.5862      4.0103
     63.2327      4.0103
     79.6732      4.0103
    101.1723      4.0103
    126.4654      4.0103
    158.0817      4.0103
    202.3446      4.0103
    252.9308      4.0103
    316.1635      4.0103
    398.3660      4.0103
    505.8615      4.0103
    632.3269      4.0103
    796.7319      4.0103
   1011.7231      4.0103
   1264.6539      4.0103
   1580.8173      4.0103
   2023.4462      4.0103
   2529.3077      4.0103
   3161.6347      4.0103
   3983.6597      4.0103
   5058.6155      4.0103
   6323.2693      4.0103
   7967.3194      4.0103
  10117.2310      4.0103
  12646.5387      4.0103
  15808.1734      4.0103
  20234.4619      4.0103
  25293.0774      4.0103
ZONE T="time=        5.41  fan harmonics" I=5 F=POINT
   1927.5082    117.1994
   3855.0163    117.9535
   5782.5245    107.4506
   7710.0326    101.4506
   9637.5408     95.4506
##########################################
# retarded time	=      5.4806
# source time	=      1.1000
# speed of sound=    342.2516
# xpos	=  -1409.4000
# ypos	=      0.1000
# alt	=    512.5000
# xobs  =      0.0000
# yobs  =      0.0000
# zobs  =      1.2000
# phix  =     17.8559
# phiy  =      0.0000
# dist  =   1499.2785
# distxy=   1409.4000
# vel   =     74.8000
# n1    =     50.8242
##########################################
ZONE T="time=        5.48 airframe broadband" I=31 F=POINT
     25.3002    115.0256
     31.6253    115.2135
     39.8478    115.4375
     50.6004    115.7041
     63.2505    115.9884
     79.6957    116.3219
    101.2008    116.7112
    126.5011    117.1181
    158.1263    117.4882
    202.4017    117.6203
    253.0021    117.5623
    316.2526    117.2721
    398.4783    116.7630
    506.0042    116.0635
    632.5053    115.3526
    796.9566    114.7406
   1012.0084    114.1566
   1265.0105    113.5282
   1581.2632    112.9718
   2024.0169    112.1147
   2530.0211    111.0744
   3162.5263    110.0409
   3984.7832    108.9768
   5060.0422    107.8826
   6325.0527    106.8652
   7969.5664    105.8155
  10120.0843    104.7345
  12650.1054    103.7278
  15812.6317    102.7238
  20240.1686    101.6158
  25300.2108    100.6165
ZONE T="time=        5.48 engine broadband (no buzzsaw)" I=31 F=POINT
     25.3002     92.8558
     31.6253     92.8558
     39.8478     92.8558
     50.6004     92.8558
     63.2505     92.8558
     79.6957     93.2136
    101.2008     93.4264
    126.5011     93.4256
    158.1263     93.3625
    202.4017     93.2768
    253.0021     93.4957
    316.2526     94.6175
    398.4783     96.9635
    506.0042    100.1134
    632.5053    103.1713
    796.9566    106.1557
   1012.0084    108.9193
   1265.0105    111.1637
   1581.2632    113.0686
   2024.0169    114.7747
   2530.0211    115.9521
   3162.5263    116.7823
   3984.7832    117.2757
   5060.0422    117.3937
   6325.0527    117.1440
   7969.5664    116.5186
  10120.0843    115.4801
  12650.1054    114.1499
  15812.6317    112.4719
  20240.1686    110.2103
  25300.2108    107.7998
